Snapshot Date;Sales Order;Item;Customer ID;Customer;Channel;Material ID;SKU Description;Category;Plant;Requested Date;Order Qty;Confirmed Qty;Open Qty;Net Value (R$);Rejection Code;Rejection Reason;Order Status;Faturamento;Causa;Plant Original;Base Forecast Qty;Demand Sensing Forecast Qty;Forecast Variation %;Total Capacity;Occupied Capacity;Available Capacity;Utilization %;Demand Sensing Forecast Qty_Warehouse;Projected Occupancy;Projected Utilization %;Capacity Status;Rejected Value (R$);Forecast Variation %;Demand Risk;Capacity Risk;Supply Risk Score;Supply Risk
2026-08-18;45000015;10;C0303;Farma Rede C;Farma;MM75-LS-01;Barra Chocolate Branco Limão Siciliano 75g;Barras;SP01;2026-08-20;600;400;200;20940;ZC1;Corte CSL;Partially Confirmed;13960.0;Corte CSL;SP01;1295.0;1424.5000000000002;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;12215.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000016;10;C0304;Farma Rede D;Farma;MM09-BN-01;Caixa 9 Bonbons Sortidos;Bonbons;MG01;2026-08-20;400;0;400;27600;ZC2;Erro de Cadastro;Rejected;0.0;Erro de Cadastro;SP01;280.0;308.0;0.10000000000000009;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;27600.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000017;10;C0101;Supermercado KA Alpha;Supermercado KA;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;SP01;2026-08-18;700;700;0;8715;—;Not Rejected;Confirmed;8715.0;Not Rejected;SP01;2400.0;2280.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000018;10;C0102;Supermercado KA Beta;Supermercado KA;MM75-GC-01;Barra Gold Caramel 75g;Barras;SP01;2026-08-19;400;300;100;13960;—;Not Rejected;Partially Confirmed;13960.0;Not Rejected;SP01;370.0;407.00000000000006;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;3490.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000019;10;C0201;Distribuidor SP Capital;Distribuidor;MM75-RB-01;Barra Chocolate Raspberry 75g;Barras;RJ01;2026-08-21;1000;1000;0;34900;—;Not Rejected;Confirmed;34900.0;Not Rejected;SP01;1000.0;950.0;-0.050000000000000044;4705.882352941177;4000;705.8823529411766;0.85;3800.0;5900.0;1.25375;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000020;10;C0305;Farma Rede E;Farma;MM30-GC-01;Barra Gold Caramel 30g;Barras;SP01;2026-08-18;900;0;900;11205;ZS1;Cliente Suspenso;Rejected;0.0;Cliente Suspenso;SP01;810.0;891.0000000000001;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;11205.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000021;10;C0001;Mon Minou Shopping Morumbi;Loja Própria;MM09-BN-01;Caixa 9 Bonbons Sortidos;Bonbons;SP01;2026-08-18;100;100;0;6900;—;Not Rejected;Confirmed;6900.0;Not Rejected;SP01;275.0;302.5;0.10000000000000009;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;17250.0;0.021739130434782705;Normal;Critical;2;Attention
2026-08-18;45000022;10;C0103;Supermercado KA Gamma;Supermercado KA;MM06-BN-01;Caixa 6 Bonbons Sortidos;Bonbons;SP01;2026-08-22;350;350;0;16450;—;Not Rejected;Confirmed;16450.0;Not Rejected;SP01;350.0;332.5;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000023;10;C0202;Distribuidor Litoral SP;Distribuidor;MM75-LS-01;Barra Chocolate Branco Limão Siciliano 75g;Barras;MG01;2026-08-23;600;450;150;20940;—;Not Rejected;Partially Confirmed;20940.0;Not Rejected;SP01;555.0;610.5;0.10000000000000009;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;5235.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000024;10;C0301;Farma Rede A;Farma;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;SP01;2026-08-18;1500;1500;0;18675;—;Not Rejected;Confirmed;18675.0;Not Rejected;SP01;2400.0;2280.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000025;10;C0104;Supermercado KA Delta;Supermercado KA;MM75-60-01;Barra Chocolate 60% 75g;Barras;SP01;2026-08-24;1000;1000;0;34900;—;Not Rejected;Confirmed;34900.0;Not Rejected;SP01;1000.0;950.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000026;10;C0203;Distribuidor Interior SP;Distribuidor;MM09-BN-01;Caixa 9 Bonbons Sortidos;Bonbons;RJ01;2026-08-25;700;700;0;48300;—;Not Rejected;Confirmed;48300.0;Not Rejected;SP01;700.0;665.0;-0.050000000000000044;4705.882352941177;4000;705.8823529411766;0.85;3800.0;5900.0;1.25375;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000027;10;C0302;Farma Rede B;Farma;MM75-RB-01;Barra Chocolate Raspberry 75g;Barras;MG01;2026-08-20;500;350;150;17450;ZC1;Corte CSL;Partially Confirmed;12215.0;Corte CSL;SP01;455.0;500.50000000000006;0.10000000000000009;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;5235.0;0.10000000000000009;Critical;Critical;4;Critical
2026-08-18;45000028;10;C0105;Supermercado KA Épsilon;Supermercado KA;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;SP01;2026-08-19;600;600;0;7470;—;Not Rejected;Confirmed;7470.0;Not Rejected;SP01;1600.0;1520.0;-0.050000000000000044;12352.94117647059;10500;1852.9411764705892;0.85;9982.5;14541.25;1.1771488095238094;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000029;10;C0204;Distribuidor Sul;Distribuidor;MM75-GC-01;Barra Gold Caramel 75g;Barras;MG01;2026-08-25;800;800;0;27920;—;Not Rejected;Confirmed;27920.0;Not Rejected;SP01;800.0;760.0;-0.050000000000000044;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
2026-08-18;45000030;10;C0304;Farma Rede D;Farma;MM30-ML-01;Barra Chocolate ao Leite 30g;Barras;MG01;2026-08-19;800;800;0;9960;—;Not Rejected;Confirmed;9960.0;Not Rejected;SP01;800.0;760.0;-0.050000000000000044;8000.0;6800;1200.0;0.85;6400.0;9000.0;1.125;Critical;0.0;-0.050000000000000044;Normal;Critical;2;Attention
